City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
NEW YORK,10038,Safe,0.12,171.97,0,1.88,628,1179,Driver Inattention/Distraction: 179: 15.18%,Backing Unsafely: 33: 2.8%,Fatigued/Drowsy: 32: 2.71%,Failure to Yield Right-of-Way: 30: 2.54%,Prescription Medication: 22: 1.87%,PASSENGER VEHICLE: 398: 33.76%,SPORT UTILITY / STATION WAGON: 238: 20.19%,TAXI: 94: 7.97%,VAN: 72: 6.11%,SMALL COM VEH(4 TIRES): 56: 4.75%,STREET CONDITION: 434: 45.02%,STREET LIGHT CONDITION: 347: 36.0%,STREET SIGN - DAMAGED: 109: 11.31%,Street Light Out: 244: 25.31%,Pothole: 186: 19.29%,Blocked - Construction: 122: 12.66%,No Parking  Standing  Stopping: 84: 8.71%,Defective Hardware: 50: 5.19%,964
NEW YORK,10035,Ok,0.04,277.15,1.19,1.94,1685,3268,Driver Inattention/Distraction: 86: 2.63%,Fatigued/Drowsy: 30: 0.92%,Turning Improperly: 24: 0.73%,Prescription Medication: 19: 0.58%,Other Vehicular: 19: 0.58%,PASSENGER VEHICLE: 1516: 46.39%,SPORT UTILITY / STATION WAGON: 613: 18.76%,OTHER: 277: 8.48%,VAN: 143: 4.38%,BUS: 106: 3.24%,STREET CONDITION: 408: 91.48%,STREET SIGN - DAMAGED: 13: 2.91%,STREET SIGN - DANGLING: 10: 2.24%,Pothole: 241: 54.04%,Cave-in: 44: 9.87%,Defective Hardware: 38: 8.52%,Failed Street Repair: 30: 6.73%,Blocked - Construction: 14: 3.14%,446
STATEN ISLAND,10309,Ok,0.15,214.29,0,1.93,784,1516,Pavement Slippery: 5: 0.33%,Driver Inattention/Distraction: 2: 0.13%,Lost Consciousness: 2: 0.13%,Driver Inexperience: 1: 0.07%,Traffic Control Disregarded: 1: 0.07%,PASSENGER VEHICLE: 881: 58.11%,SPORT UTILITY / STATION WAGON: 411: 27.11%,OTHER: 37: 2.44%,PICK-UP TRUCK: 33: 2.18%,VAN: 31: 2.04%,STREET CONDITION: 1332: 55.62%,STREET LIGHT CONDITION: 932: 38.91%,STREET SIGN - DAMAGED: 53: 2.21%,Pothole: 852: 35.57%,Street Light Out: 836: 34.91%,Rough  Pitted or Cracked Roads: 138: 5.76%,Cave-in: 99: 4.13%,Failed Street Repair: 74: 3.09%,2395
NEW YORK,10034,Ok,0.17,214.61,0,1.95,876,1711,Driver Inattention/Distraction: 134: 7.83%,Other Vehicular: 95: 5.55%,Failure to Yield Right-of-Way: 38: 2.22%,Backing Unsafely: 32: 1.87%,Driver Inexperience: 27: 1.58%,PASSENGER VEHICLE: 810: 47.34%,SPORT UTILITY / STATION WAGON: 492: 28.76%,VAN: 64: 3.74%,OTHER: 31: 1.81%,BICYCLE: 27: 1.58%,STREET CONDITION: 505: 65.08%,STREET LIGHT CONDITION: 232: 29.9%,STREET SIGN - DAMAGED: 21: 2.71%,Pothole: 284: 36.6%,Street Light Out: 170: 21.91%,Cave-in: 84: 10.82%,Defective Hardware: 34: 4.38%,Failed Street Repair: 28: 3.61%,776
FAR ROCKAWAY,11691,Ok,0.24,341.39,2.01,1.91,993,1901,Driver Inattention/Distraction: 93: 4.89%,Failure to Yield Right-of-Way: 25: 1.32%,Backing Unsafely: 22: 1.16%,Other Vehicular: 20: 1.05%,Lost Consciousness: 15: 0.79%,PASSENGER VEHICLE: 1050: 55.23%,SPORT UTILITY / STATION WAGON: 468: 24.62%,VAN: 43: 2.26%,BUS: 43: 2.26%,OTHER: 27: 1.42%,STREET LIGHT CONDITION: 907: 51.56%,STREET CONDITION: 707: 40.19%,STREET SIGN - MISSING: 68: 3.87%,Street Light Out: 725: 41.22%,Pothole: 386: 21.94%,Cave-in: 105: 5.97%,Rough  Pitted or Cracked Roads: 70: 3.98%,Glassware Missing: 51: 2.9%,1759
STATEN ISLAND,10308,Ok,0.05,290.38,0,1.97,613,1210,Driver Inattention/Distraction: 119: 9.83%,Fatigued/Drowsy: 57: 4.71%,Failure to Yield Right-of-Way: 38: 3.14%,Backing Unsafely: 27: 2.23%,Traffic Control Disregarded: 19: 1.57%,PASSENGER VEHICLE: 777: 64.21%,SPORT UTILITY / STATION WAGON: 280: 23.14%,OTHER: 38: 3.14%,PICK-UP TRUCK: 21: 1.74%,VAN: 8: 0.66%,STREET CONDITION: 862: 53.57%,STREET LIGHT CONDITION: 648: 40.27%,STREET SIGN - DAMAGED: 50: 3.11%,Street Light Out: 520: 32.32%,Pothole: 502: 31.2%,Rough  Pitted or Cracked Roads: 88: 5.47%,Cave-in: 78: 4.85%,Failed Street Repair: 73: 4.54%,1609
NEW YORK,10037,Ok,0.02,309.81,0,1.8,581,1043,Driver Inattention/Distraction: 56: 5.37%,Other Vehicular: 21: 2.01%,Fatigued/Drowsy: 19: 1.82%,Backing Unsafely: 17: 1.63%,Lost Consciousness: 17: 1.63%,PASSENGER VEHICLE: 470: 45.06%,SPORT UTILITY / STATION WAGON: 227: 21.76%,LIVERY VEHICLE: 55: 5.27%,VAN: 51: 4.89%,OTHER: 38: 3.64%,STREET CONDITION: 119: 75.32%,STREET LIGHT CONDITION: 24: 15.19%,STREET SIGN - DAMAGED: 8: 5.06%,Pothole: 72: 45.57%,Street Light Out: 18: 11.39%,Defective Hardware: 11: 6.96%,Rough  Pitted or Cracked Roads: 10: 6.33%,Cave-in: 8: 5.06%,158
STATEN ISLAND,10306,Ok,0.02,256.42,1.54,1.98,1946,3860,Driver Inattention/Distraction: 476: 12.33%,Fatigued/Drowsy: 147: 3.81%,Failure to Yield Right-of-Way: 117: 3.03%,Backing Unsafely: 68: 1.76%,Prescription Medication: 50: 1.3%,PASSENGER VEHICLE: 2473: 64.07%,SPORT UTILITY / STATION WAGON: 865: 22.41%,OTHER: 91: 2.36%,PICK-UP TRUCK: 77: 1.99%,VAN: 70: 1.81%,STREET CONDITION: 2250: 55.15%,STREET LIGHT CONDITION: 1575: 38.6%,STREET SIGN - MISSING: 117: 2.87%,Pothole: 1310: 32.11%,Street Light Out: 1307: 32.03%,Rough  Pitted or Cracked Roads: 237: 5.81%,Cave-in: 191: 4.68%,Failed Street Repair: 147: 3.6%,4080
NEW YORK,10036,Ok,0.06,107.18,0.6,1.95,3331,6488,Driver Inattention/Distraction: 497: 7.66%,Fatigued/Drowsy: 273: 4.21%,Turning Improperly: 254: 3.91%,Lost Consciousness: 195: 3.01%,Prescription Medication: 164: 2.53%,PASSENGER VEHICLE: 2226: 34.31%,TAXI: 1178: 18.16%,SPORT UTILITY / STATION WAGON: 949: 14.63%,BUS: 478: 7.37%,VAN: 361: 5.56%,STREET CONDITION: 1114: 89.69%,STREET SIGN - DAMAGED: 49: 3.95%,STREET SIGN - MISSING: 31: 2.5%,Pothole: 575: 46.3%,Cave-in: 108: 8.7%,Plate Condition - Noisy: 84: 6.76%,Defective Hardware: 84: 6.76%,Rough  Pitted or Cracked Roads: 81: 6.52%,1242
BROOKLYN,11229,Ok,0.08,320.85,1.68,1.95,1789,3497,Driver Inattention/Distraction: 268: 7.66%,Failure to Yield Right-of-Way: 244: 6.98%,Fatigued/Drowsy: 89: 2.55%,Backing Unsafely: 87: 2.49%,Lost Consciousness: 64: 1.83%,PASSENGER VEHICLE: 1803: 51.56%,SPORT UTILITY / STATION WAGON: 1011: 28.91%,OTHER: 98: 2.8%,VAN: 91: 2.6%,BICYCLE: 49: 1.4%,STREET CONDITION: 1349: 56.59%,STREET LIGHT CONDITION: 661: 27.73%,STREET SIGN - DAMAGED: 294: 12.33%,Pothole: 560: 23.49%,Street Light Out: 513: 21.52%,Cave-in: 298: 12.5%,Rough  Pitted or Cracked Roads: 125: 5.24%,Street Cleaning - ASP: 121: 5.08%,2384
STATEN ISLAND,10305,Ok,0.02,274.33,0,1.98,1305,2586,Driver Inattention/Distraction: 213: 8.24%,Fatigued/Drowsy: 60: 2.32%,Failure to Yield Right-of-Way: 49: 1.89%,Backing Unsafely: 45: 1.74%,Prescription Medication: 33: 1.28%,PASSENGER VEHICLE: 1564: 60.48%,SPORT UTILITY / STATION WAGON: 578: 22.35%,OTHER: 62: 2.4%,VAN: 60: 2.32%,PICK-UP TRUCK: 55: 2.13%,STREET CONDITION: 1206: 50.04%,STREET LIGHT CONDITION: 1058: 43.9%,STREET SIGN - MISSING: 66: 2.74%,Street Light Out: 894: 37.1%,Pothole: 721: 29.92%,Rough  Pitted or Cracked Roads: 121: 5.02%,Cave-in: 107: 4.44%,Failed Street Repair: 68: 2.82%,2410
NEW YORK,10031,Ok,0.06,304.13,2.01,1.95,993,1932,Driver Inattention/Distraction: 106: 5.49%,Failure to Yield Right-of-Way: 71: 3.67%,Fatigued/Drowsy: 59: 3.05%,Backing Unsafely: 55: 2.85%,Lost Consciousness: 44: 2.28%,PASSENGER VEHICLE: 935: 48.4%,SPORT UTILITY / STATION WAGON: 343: 17.75%,TAXI: 97: 5.02%,VAN: 94: 4.87%,LIVERY VEHICLE: 58: 3.0%,STREET CONDITION: 539: 90.89%,STREET LIGHT CONDITION: 39: 6.58%,STREET SIGN - DAMAGED: 6: 1.01%,Pothole: 356: 60.03%,Cave-in: 55: 9.27%,Failed Street Repair: 44: 7.42%,Street Light Out: 33: 5.56%,Rough  Pitted or Cracked Roads: 28: 4.72%,593
BROOKLYN,11228,Ok,0.1,282.16,2.07,2.08,964,2006,Driver Inattention/Distraction: 108: 5.38%,Failure to Yield Right-of-Way: 67: 3.34%,Fatigued/Drowsy: 52: 2.59%,Fell Asleep: 35: 1.74%,Physical Disability: 33: 1.65%,PASSENGER VEHICLE: 1114: 55.53%,SPORT UTILITY / STATION WAGON: 535: 26.67%,VAN: 52: 2.59%,OTHER: 32: 1.6%,PICK-UP TRUCK: 29: 1.45%,STREET CONDITION: 761: 48.35%,STREET LIGHT CONDITION: 491: 31.19%,STREET SIGN - DAMAGED: 286: 18.17%,Street Light Out: 370: 23.51%,Pothole: 355: 22.55%,Street Cleaning - ASP: 211: 13.41%,Cave-in: 157: 9.97%,Failed Street Repair: 81: 5.15%,1574
STATEN ISLAND,10304,Ok,0.12,231.51,1.38,1.96,1447,2832,Driver Inattention/Distraction: 156: 5.51%,Fatigued/Drowsy: 56: 1.98%,Failure to Yield Right-of-Way: 42: 1.48%,Prescription Medication: 34: 1.2%,Pavement Slippery: 29: 1.02%,PASSENGER VEHICLE: 1714: 60.52%,SPORT UTILITY / STATION WAGON: 681: 24.05%,OTHER: 55: 1.94%,VAN: 49: 1.73%,PICK-UP TRUCK: 32: 1.13%,STREET CONDITION: 1037: 52.83%,STREET LIGHT CONDITION: 825: 42.03%,STREET SIGN - DAMAGED: 44: 2.24%,Street Light Out: 734: 37.39%,Pothole: 648: 33.01%,Rough  Pitted or Cracked Roads: 84: 4.28%,Cave-in: 67: 3.41%,Failed Street Repair: 58: 2.95%,1963
NEW YORK,10030,Ok,0.29,338.98,1.54,1.83,649,1189,Driver Inattention/Distraction: 95: 7.99%,Failure to Yield Right-of-Way: 35: 2.94%,Backing Unsafely: 29: 2.44%,Fatigued/Drowsy: 27: 2.27%,Other Vehicular: 23: 1.93%,PASSENGER VEHICLE: 536: 45.08%,SPORT UTILITY / STATION WAGON: 255: 21.45%,LIVERY VEHICLE: 74: 6.22%,VAN: 54: 4.54%,TAXI: 38: 3.2%,STREET CONDITION: 202: 90.58%,STREET SIGN - DANGLING: 8: 3.59%,STREET LIGHT CONDITION: 7: 3.14%,Pothole: 136: 60.99%,Cave-in: 20: 8.97%,Defective Hardware: 10: 4.48%,Failed Street Repair: 9: 4.04%,Rough  Pitted or Cracked Roads: 8: 3.59%,223
BROOKLYN,11226,Ok,0.19,409.5,0.81,1.98,2464,4874,Driver Inattention/Distraction: 154: 3.16%,Fatigued/Drowsy: 69: 1.42%,Failure to Yield Right-of-Way: 61: 1.25%,Other Vehicular: 51: 1.05%,Backing Unsafely: 40: 0.82%,PASSENGER VEHICLE: 2543: 52.17%,SPORT UTILITY / STATION WAGON: 1229: 25.22%,VAN: 200: 4.1%,BICYCLE: 113: 2.32%,BUS: 94: 1.93%,STREET CONDITION: 989: 54.97%,STREET LIGHT CONDITION: 420: 23.35%,STREET SIGN - DAMAGED: 333: 18.51%,Pothole: 525: 29.18%,Street Light Out: 328: 18.23%,Street Cleaning - ASP: 190: 10.56%,Cave-in: 109: 6.06%,Failed Street Repair: 81: 4.5%,1799
STATEN ISLAND,10303,Ok,0.11,213.11,1.82,1.93,549,1062,Failure to Yield Right-of-Way: 8: 0.75%,Driver Inattention/Distraction: 7: 0.66%,Prescription Medication: 5: 0.47%,Other Vehicular: 3: 0.28%,Fatigued/Drowsy: 3: 0.28%,PASSENGER VEHICLE: 610: 57.44%,SPORT UTILITY / STATION WAGON: 288: 27.12%,VAN: 15: 1.41%,OTHER: 14: 1.32%,BUS: 11: 1.04%,STREET CONDITION: 567: 53.39%,STREET LIGHT CONDITION: 445: 41.9%,STREET SIGN - MISSING: 25: 2.35%,Street Light Out: 380: 35.78%,Pothole: 368: 34.65%,Rough  Pitted or Cracked Roads: 57: 5.37%,Cave-in: 41: 3.86%,Defective Hardware: 28: 2.64%,1062
NEW YORK,10033,Ok,0.08,242.1,0.9,1.93,1107,2141,Driver Inattention/Distraction: 147: 6.87%,Failure to Yield Right-of-Way: 58: 2.71%,Other Vehicular: 51: 2.38%,Fatigued/Drowsy: 34: 1.59%,Backing Unsafely: 31: 1.45%,PASSENGER VEHICLE: 982: 45.87%,SPORT UTILITY / STATION WAGON: 531: 24.8%,VAN: 101: 4.72%,OTHER: 89: 4.16%,TAXI: 52: 2.43%,STREET CONDITION: 409: 81.8%,STREET LIGHT CONDITION: 49: 9.8%,STREET SIGN - MISSING: 19: 3.8%,Pothole: 273: 54.6%,Street Light Out: 43: 8.6%,Failed Street Repair: 28: 5.6%,Cave-in: 28: 5.6%,Rough  Pitted or Cracked Roads: 21: 4.2%,500
BROOKLYN,11225,Ok,0.22,340.63,1.29,1.99,1553,3087,Driver Inattention/Distraction: 148: 4.79%,Fatigued/Drowsy: 63: 2.04%,Failure to Yield Right-of-Way: 55: 1.78%,Lost Consciousness: 36: 1.17%,Backing Unsafely: 30: 0.97%,PASSENGER VEHICLE: 2303: 74.6%,SPORT UTILITY / STATION WAGON: 247: 8.0%,BICYCLE: 79: 2.56%,VAN: 48: 1.55%,OTHER: 35: 1.13%,STREET LIGHT CONDITION: 642: 45.96%,STREET CONDITION: 468: 33.5%,STREET SIGN - DAMAGED: 231: 16.54%,Street Light Out: 526: 37.65%,Pothole: 210: 15.03%,Street Cleaning - ASP: 163: 11.67%,Failed Street Repair: 61: 4.37%,Rough  Pitted or Cracked Roads: 50: 3.58%,1397
STATEN ISLAND,10302,Ok,0.21,330.45,4.32,1.94,463,896,Driver Inattention/Distraction: 8: 0.89%,Failure to Yield Right-of-Way: 6: 0.67%,Fatigued/Drowsy: 6: 0.67%,Other Vehicular: 5: 0.56%,Backing Unsafely: 3: 0.33%,PASSENGER VEHICLE: 530: 59.15%,SPORT UTILITY / STATION WAGON: 213: 23.77%,VAN: 20: 2.23%,OTHER: 17: 1.9%,BUS: 13: 1.45%,STREET CONDITION: 480: 49.33%,STREET LIGHT CONDITION: 448: 46.04%,STREET SIGN - DAMAGED: 19: 1.95%,Street Light Out: 343: 35.25%,Pothole: 291: 29.91%,Cave-in: 63: 6.47%,Rough  Pitted or Cracked Roads: 32: 3.29%,Failed Street Repair: 29: 2.98%,973
NEW YORK,10032,Ok,0.13,302.47,0.88,1.93,1134,2193,Driver Inattention/Distraction: 67: 3.06%,Other Vehicular: 41: 1.87%,Failure to Yield Right-of-Way: 32: 1.46%,Fatigued/Drowsy: 23: 1.05%,Backing Unsafely: 22: 1.0%,PASSENGER VEHICLE: 1051: 47.93%,SPORT UTILITY / STATION WAGON: 439: 20.02%,OTHER: 140: 6.38%,VAN: 101: 4.61%,TAXI: 87: 3.97%,STREET CONDITION: 456: 87.36%,STREET LIGHT CONDITION: 35: 6.7%,STREET SIGN - MISSING: 18: 3.45%,Pothole: 290: 55.56%,Cave-in: 56: 10.73%,Street Light Out: 27: 5.17%,Failed Street Repair: 23: 4.41%,Rough  Pitted or Cracked Roads: 21: 4.02%,522
BROOKLYN,11224,Ok,0.21,286.35,2.24,1.89,894,1687,Driver Inattention/Distraction: 129: 7.65%,Failure to Yield Right-of-Way: 39: 2.31%,Backing Unsafely: 37: 2.19%,Other Vehicular: 21: 1.24%,Fatigued/Drowsy: 20: 1.19%,PASSENGER VEHICLE: 914: 54.18%,SPORT UTILITY / STATION WAGON: 345: 20.45%,OTHER: 89: 5.28%,VAN: 51: 3.02%,BUS: 31: 1.84%,STREET CONDITION: 560: 50.86%,STREET LIGHT CONDITION: 399: 36.24%,STREET SIGN - DAMAGED: 72: 6.54%,Street Light Out: 351: 31.88%,Pothole: 327: 29.7%,Cave-in: 92: 8.36%,No Parking  Standing  Stopping: 48: 4.36%,Failed Street Repair: 35: 3.18%,1101
STATEN ISLAND,10301,Ok,0.06,240.63,0.75,1.97,1334,2627,Driver Inattention/Distraction: 57: 2.17%,Fatigued/Drowsy: 25: 0.95%,Backing Unsafely: 24: 0.91%,Pavement Slippery: 13: 0.49%,Other Vehicular: 13: 0.49%,PASSENGER VEHICLE: 1643: 62.54%,SPORT UTILITY / STATION WAGON: 577: 21.96%,BUS: 43: 1.64%,VAN: 37: 1.41%,OTHER: 34: 1.29%,STREET LIGHT CONDITION: 1169: 48.01%,STREET CONDITION: 1143: 46.94%,STREET SIGN - MISSING: 52: 2.14%,Street Light Out: 1019: 41.85%,Pothole: 648: 26.61%,Cave-in: 107: 4.39%,Rough  Pitted or Cracked Roads: 98: 4.02%,Failed Street Repair: 68: 2.79%,2435
BROOKLYN,11223,Ok,0.3,309.64,3.16,1.99,1899,3772,Driver Inattention/Distraction: 275: 7.29%,Failure to Yield Right-of-Way: 192: 5.09%,Fatigued/Drowsy: 111: 2.94%,Backing Unsafely: 72: 1.91%,Lost Consciousness: 72: 1.91%,PASSENGER VEHICLE: 1965: 52.09%,SPORT UTILITY / STATION WAGON: 1049: 27.81%,VAN: 130: 3.45%,OTHER: 99: 2.62%,BICYCLE: 69: 1.83%,STREET CONDITION: 1003: 52.9%,STREET LIGHT CONDITION: 466: 24.58%,STREET SIGN - DAMAGED: 294: 15.51%,Pothole: 497: 26.21%,Street Light Out: 380: 20.04%,Street Cleaning - ASP: 163: 8.6%,Cave-in: 154: 8.12%,Rough  Pitted or Cracked Roads: 97: 5.12%,1896
NEW YORK,10040,Ok,0.03,272.56,1.88,1.98,532,1054,Driver Inattention/Distraction: 64: 6.07%,Other Vehicular: 49: 4.65%,Failure to Yield Right-of-Way: 17: 1.61%,Driver Inexperience: 16: 1.52%,Lost Consciousness: 15: 1.42%,PASSENGER VEHICLE: 461: 43.74%,SPORT UTILITY / STATION WAGON: 318: 30.17%,VAN: 44: 4.17%,OTHER: 23: 2.18%,BICYCLE: 21: 1.99%,STREET CONDITION: 266: 49.08%,STREET LIGHT CONDITION: 247: 45.57%,STREET SIGN - DAMAGED: 12: 2.21%,Street Light Out: 184: 33.95%,Pothole: 153: 28.23%,Street Light Cycling: 30: 5.54%,Defective Hardware: 27: 4.98%,Failed Street Repair: 24: 4.43%,542
BROOKLYN,11222,Ok,0.1,172.22,1.39,1.98,1440,2847,Failure to Yield Right-of-Way: 192: 6.74%,Driver Inattention/Distraction: 175: 6.15%,Lost Consciousness: 156: 5.48%,Backing Unsafely: 138: 4.85%,Fatigued/Drowsy: 108: 3.79%,PASSENGER VEHICLE: 1008: 35.41%,SPORT UTILITY / STATION WAGON: 498: 17.49%,OTHER: 335: 11.77%,VAN: 315: 11.06%,PICK-UP TRUCK: 102: 3.58%,STREET LIGHT CONDITION: 890: 41.86%,STREET CONDITION: 777: 36.55%,STREET SIGN - DAMAGED: 363: 17.07%,Street Light Out: 649: 30.53%,Pothole: 390: 18.34%,Street Cleaning - ASP: 195: 9.17%,Stop: 125: 5.88%,Cave-in: 72: 3.39%,2126
BROOKLYN,11221,Ok,0.14,457.76,0,1.99,1752,3493,Driver Inattention/Distraction: 104: 2.98%,Failure to Yield Right-of-Way: 36: 1.03%,Fatigued/Drowsy: 31: 0.89%,Physical Disability: 27: 0.77%,Backing Unsafely: 21: 0.6%,PASSENGER VEHICLE: 1667: 47.72%,SPORT UTILITY / STATION WAGON: 574: 16.43%,OTHER: 517: 14.8%,VAN: 93: 2.66%,BICYCLE: 84: 2.4%,STREET LIGHT CONDITION: 1191: 51.12%,STREET CONDITION: 844: 36.22%,STREET SIGN - DAMAGED: 242: 10.39%,Street Light Out: 995: 42.7%,Pothole: 351: 15.06%,Cave-in: 138: 5.92%,Failed Street Repair: 136: 5.84%,One Way: 70: 3.0%,2330
BROOKLYN,11220,Hazardous,0.34,292.87,1.7,1.94,2356,4578,Driver Inattention/Distraction: 279: 6.09%,Failure to Yield Right-of-Way: 151: 3.3%,Other Vehicular: 124: 2.71%,Backing Unsafely: 112: 2.45%,Fatigued/Drowsy: 100: 2.18%,PASSENGER VEHICLE: 2688: 58.72%,SPORT UTILITY / STATION WAGON: 862: 18.83%,VAN: 145: 3.17%,SMALL COM VEH(4 TIRES): 142: 3.1%,BICYCLE: 89: 1.94%,STREET LIGHT CONDITION: 1395: 45.15%,STREET CONDITION: 1362: 44.08%,STREET SIGN - DAMAGED: 231: 7.48%,Street Light Out: 1070: 34.63%,Pothole: 752: 24.34%,Cave-in: 165: 5.34%,Street Light Cycling: 161: 5.21%,Failed Street Repair: 127: 4.11%,3090
MIDDLE VILLAGE,11379,Ok,0.27,233.64,0,2.03,856,1736,Driver Inattention/Distraction: 43: 2.48%,Failure to Yield Right-of-Way: 39: 2.25%,Fatigued/Drowsy: 27: 1.56%,Lost Consciousness: 16: 0.92%,Prescription Medication: 14: 0.81%,PASSENGER VEHICLE: 1036: 59.68%,SPORT UTILITY / STATION WAGON: 441: 25.4%,OTHER: 40: 2.3%,VAN: 30: 1.73%,SMALL COM VEH(4 TIRES): 27: 1.56%,STREET CONDITION: 912: 51.53%,STREET LIGHT CONDITION: 756: 42.71%,STREET SIGN - DAMAGED: 51: 2.88%,Street Light Out: 579: 32.71%,Pothole: 410: 23.16%,Cave-in: 187: 10.56%,Defective Hardware: 79: 4.46%,Rough  Pitted or Cracked Roads: 69: 3.9%,1770
MASPETH,11378,Ok,0.12,174.86,0.81,1.99,1241,2467,Driver Inattention/Distraction: 69: 2.8%,Failure to Yield Right-of-Way: 61: 2.47%,Fatigued/Drowsy: 37: 1.5%,Prescription Medication: 27: 1.09%,Backing Unsafely: 25: 1.01%,PASSENGER VEHICLE: 1217: 49.33%,SPORT UTILITY / STATION WAGON: 552: 22.38%,OTHER: 99: 4.01%,LARGE COM VEH(6 OR MORE TIRES): 97: 3.93%,VAN: 85: 3.45%,STREET CONDITION: 1005: 46.51%,STREET LIGHT CONDITION: 997: 46.14%,STREET SIGN - MISSING: 73: 3.38%,Street Light Out: 709: 32.81%,Pothole: 600: 27.76%,Cave-in: 111: 5.14%,Lamppost Base Door/Cover Damaged: 59: 2.73%,Rough  Pitted or Cracked Roads: 54: 2.5%,2161
FOREST HILLS,11375,Ok,0.2,188.79,0.61,1.97,1642,3230,Driver Inattention/Distraction: 185: 5.73%,Fatigued/Drowsy: 71: 2.2%,Failure to Yield Right-of-Way: 60: 1.86%,Backing Unsafely: 52: 1.61%,Physical Disability: 34: 1.05%,PASSENGER VEHICLE: 1817: 56.25%,SPORT UTILITY / STATION WAGON: 779: 24.12%,VAN: 90: 2.79%,OTHER: 68: 2.11%,TAXI: 55: 1.7%,STREET LIGHT CONDITION: 978: 45.19%,STREET CONDITION: 922: 42.61%,STREET SIGN - DAMAGED: 146: 6.75%,Street Light Out: 775: 35.81%,Pothole: 344: 15.9%,Cave-in: 158: 7.3%,Defective Hardware: 132: 6.1%,Street Cleaning - ASP: 72: 3.33%,2164
REGO PARK,11374,Hazardous,0.49,200,0.92,1.96,1090,2134,Driver Inattention/Distraction: 113: 5.3%,Failure to Yield Right-of-Way: 49: 2.3%,Fatigued/Drowsy: 48: 2.25%,Backing Unsafely: 36: 1.69%,Prescription Medication: 24: 1.12%,PASSENGER VEHICLE: 1150: 53.89%,SPORT UTILITY / STATION WAGON: 559: 26.19%,VAN: 70: 3.28%,OTHER: 47: 2.2%,SMALL COM VEH(4 TIRES): 25: 1.17%,STREET LIGHT CONDITION: 559: 51.33%,STREET CONDITION: 399: 36.64%,STREET SIGN - DAMAGED: 64: 5.88%,Street Light Out: 432: 39.67%,Pothole: 207: 19.01%,Defective Hardware: 37: 3.4%,Rough  Pitted or Cracked Roads: 36: 3.31%,No Parking  Standing  Stopping: 35: 3.21%,1089
WOODSIDE,11377,Hazardous,0.34,288.07,2.83,1.98,2121,4198,Driver Inattention/Distraction: 282: 6.72%,Failure to Yield Right-of-Way: 147: 3.5%,Fatigued/Drowsy: 103: 2.45%,Backing Unsafely: 65: 1.55%,Physical Disability: 46: 1.1%,PASSENGER VEHICLE: 2206: 52.55%,SPORT UTILITY / STATION WAGON: 780: 18.58%,TAXI: 141: 3.36%,VAN: 96: 2.29%,OTHER: 92: 2.19%,STREET LIGHT CONDITION: 1498: 56.64%,STREET CONDITION: 1002: 37.88%,STREET SIGN - MISSING: 60: 2.27%,Street Light Out: 1009: 38.15%,Pothole: 616: 23.29%,Lamppost Base Door/Cover Damaged: 112: 4.23%,Cave-in: 104: 3.93%,Street Light Cycling: 82: 3.1%,2645
QUEENS VILLAGE,11428,Ok,0.14,355.87,0,2.03,562,1139,Failure to Yield Right-of-Way: 47: 4.13%,Driver Inattention/Distraction: 42: 3.69%,Driver Inexperience: 26: 2.28%,Other Vehicular: 24: 2.11%,Traffic Control Disregarded: 18: 1.58%,PASSENGER VEHICLE: 708: 62.16%,SPORT UTILITY / STATION WAGON: 254: 22.3%,VAN: 26: 2.28%,OTHER: 22: 1.93%,BUS: 15: 1.32%,STREET LIGHT CONDITION: 603: 55.63%,STREET CONDITION: 417: 38.47%,STREET SIGN - DAMAGED: 32: 2.95%,Street Light Out: 468: 43.17%,Pothole: 278: 25.65%,Street Light Cycling: 38: 3.51%,Failed Street Repair: 32: 2.95%,Rough  Pitted or Cracked Roads: 31: 2.86%,1084
NEW YORK,10019,Ok,0.17,143.33,0.91,1.94,3307,6415,Driver Inattention/Distraction: 1051: 16.38%,Fatigued/Drowsy: 427: 6.66%,Turning Improperly: 369: 5.75%,Lost Consciousness: 314: 4.89%,Failure to Yield Right-of-Way: 206: 3.21%,PASSENGER VEHICLE: 2310: 36.01%,TAXI: 1202: 18.74%,SPORT UTILITY / STATION WAGON: 1059: 16.51%,VAN: 385: 6.0%,LARGE COM VEH(6 OR MORE TIRES): 227: 3.54%,STREET CONDITION: 1382: 84.42%,STREET LIGHT CONDITION: 162: 9.9%,STREET SIGN - DAMAGED: 35: 2.14%,Pothole: 629: 38.42%,Defective Hardware: 206: 12.58%,Plate Condition - Noisy: 122: 7.45%,Cave-in: 120: 7.33%,Street Light Out: 119: 7.27%,1637
