City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
BROOKLYN,11235,Ok,0.24,251.96,0.98,1.97,2036,4020,Driver Inattention/Distraction: 281: 6.99%,Failure to Yield Right-of-Way: 212: 5.27%,Backing Unsafely: 110: 2.74%,Fatigued/Drowsy: 109: 2.71%,Prescription Medication: 74: 1.84%,PASSENGER VEHICLE: 2186: 54.38%,SPORT UTILITY / STATION WAGON: 1052: 26.17%,OTHER: 108: 2.69%,VAN: 82: 2.04%,BUS: 62: 1.54%,STREET LIGHT CONDITION: 1374: 43.48%,STREET CONDITION: 1354: 42.85%,STREET SIGN - DAMAGED: 275: 8.7%,Street Light Out: 1157: 36.61%,Pothole: 688: 21.77%,Cave-in: 145: 4.59%,Failed Street Repair: 129: 4.08%,Street Cleaning - ASP: 117: 3.7%,3160
BROOKLYN,11236,Hazardous,0.38,407.04,3.87,2.02,2587,5234,Driver Inattention/Distraction: 409: 7.81%,Failure to Yield Right-of-Way: 165: 3.15%,Fatigued/Drowsy: 89: 1.7%,Prescription Medication: 62: 1.18%,Traffic Control Disregarded: 53: 1.01%,PASSENGER VEHICLE: 3271: 62.5%,SPORT UTILITY / STATION WAGON: 988: 18.88%,OTHER: 148: 2.83%,VAN: 147: 2.81%,BUS: 65: 1.24%,STREET CONDITION: 1390: 63.7%,STREET LIGHT CONDITION: 364: 16.68%,STREET SIGN - DAMAGED: 283: 12.97%,Pothole: 845: 38.73%,Street Light Out: 271: 12.42%,Cave-in: 208: 9.53%,Stop: 127: 5.82%,Rough  Pitted or Cracked Roads: 95: 4.35%,2182
NEW YORK,10007,Safe,0.02,175.55,0,1.91,769,1466,Driver Inattention/Distraction: 187: 12.76%,Lost Consciousness: 50: 3.41%,Fatigued/Drowsy: 46: 3.14%,Turning Improperly: 30: 2.05%,Failure to Yield Right-of-Way: 29: 1.98%,PASSENGER VEHICLE: 582: 39.7%,SPORT UTILITY / STATION WAGON: 241: 16.44%,TAXI: 204: 13.92%,VAN: 77: 5.25%,BUS: 60: 4.09%,STREET CONDITION: 487: 58.11%,STREET LIGHT CONDITION: 275: 32.82%,STREET SIGN - DAMAGED: 43: 5.13%,Pothole: 245: 29.24%,Street Light Out: 200: 23.87%,Defective Hardware: 58: 6.92%,Cave-in: 56: 6.68%,Blocked - Construction: 54: 6.44%,838
BROOKLYN,11237,Ok,0.11,287.61,2.49,1.97,1203,2366,Driver Inattention/Distraction: 43: 1.82%,Failure to Yield Right-of-Way: 34: 1.44%,Lost Consciousness: 29: 1.23%,Backing Unsafely: 18: 0.76%,Other Vehicular: 16: 0.68%,PASSENGER VEHICLE: 954: 40.32%,OTHER: 505: 21.34%,SPORT UTILITY / STATION WAGON: 303: 12.81%,VAN: 89: 3.76%,LARGE COM VEH(6 OR MORE TIRES): 64: 2.7%,STREET CONDITION: 641: 38.71%,STREET LIGHT CONDITION: 620: 37.44%,STREET SIGN - DAMAGED: 296: 17.87%,Street Light Out: 476: 28.74%,Pothole: 360: 21.74%,Stop: 110: 6.64%,Street Cleaning - ASP: 106: 6.4%,Cave-in: 77: 4.65%,1656
NEW YORK,10001,Ok,0.12,165.49,1.01,1.95,2985,5833,Driver Inattention/Distraction: 236: 4.05%,Fatigued/Drowsy: 175: 3.0%,Turning Improperly: 152: 2.61%,Lost Consciousness: 126: 2.16%,Prescription Medication: 103: 1.77%,PASSENGER VEHICLE: 1851: 31.73%,TAXI: 1061: 18.19%,SPORT UTILITY / STATION WAGON: 1004: 17.21%,VAN: 381: 6.53%,OTHER: 359: 6.15%,STREET CONDITION: 808: 91.4%,STREET SIGN - DAMAGED: 31: 3.51%,STREET SIGN - MISSING: 28: 3.17%,Pothole: 421: 47.62%,Cave-in: 96: 10.86%,Rough  Pitted or Cracked Roads: 64: 7.24%,Defective Hardware: 60: 6.79%,Blocked - Construction: 54: 6.11%,884
NEW YORK,10002,Hazardous,0.39,231.42,0.74,1.94,2705,5260,Driver Inattention/Distraction: 753: 14.32%,Fatigued/Drowsy: 229: 4.35%,Lost Consciousness: 185: 3.52%,Failure to Yield Right-of-Way: 181: 3.44%,Turning Improperly: 113: 2.15%,PASSENGER VEHICLE: 2180: 41.44%,SPORT UTILITY / STATION WAGON: 992: 18.86%,TAXI: 553: 10.51%,VAN: 221: 4.2%,BICYCLE: 164: 3.12%,STREET CONDITION: 857: 54.1%,STREET LIGHT CONDITION: 618: 39.02%,STREET SIGN - DAMAGED: 64: 4.04%,Street Light Out: 469: 29.61%,Pothole: 381: 24.05%,Cave-in: 145: 9.15%,Defective Hardware: 79: 4.99%,Blocked - Construction: 73: 4.61%,1584
NEW YORK,10003,Ok,0.18,210.72,0.92,1.92,2164,4155,Driver Inattention/Distraction: 225: 5.42%,Fatigued/Drowsy: 79: 1.9%,Lost Consciousness: 67: 1.61%,Backing Unsafely: 61: 1.47%,Failure to Yield Right-of-Way: 58: 1.4%,PASSENGER VEHICLE: 1621: 39.01%,TAXI: 855: 20.58%,SPORT UTILITY / STATION WAGON: 475: 11.43%,VAN: 200: 4.81%,BICYCLE: 154: 3.71%,STREET CONDITION: 1157: 88.86%,STREET LIGHT CONDITION: 56: 4.3%,STREET SIGN - DAMAGED: 31: 2.38%,Pothole: 436: 33.49%,Defective Hardware: 215: 16.51%,Cave-in: 133: 10.22%,Plate Condition - Noisy: 106: 8.14%,Failed Street Repair: 88: 6.76%,1302
FRESH MEADOWS,11366,Ok,0.07,294.35,3.9,2.01,513,1030,Driver Inattention/Distraction: 162: 15.73%,Failure to Yield Right-of-Way: 72: 6.99%,Fatigued/Drowsy: 41: 3.98%,Physical Disability: 35: 3.4%,Traffic Control Disregarded: 20: 1.94%,PASSENGER VEHICLE: 647: 62.82%,SPORT UTILITY / STATION WAGON: 220: 21.36%,VAN: 25: 2.43%,SMALL COM VEH(4 TIRES): 13: 1.26%,PICK-UP TRUCK: 12: 1.17%,STREET LIGHT CONDITION: 618: 62.24%,STREET CONDITION: 311: 31.32%,STREET SIGN - MISSING: 28: 2.82%,Street Light Out: 486: 48.94%,Pothole: 156: 15.71%,Cave-in: 62: 6.24%,Lamppost Base Door/Cover Open: 41: 4.13%,Failed Street Repair: 26: 2.62%,993
FLUSHING,11367,Ok,0.16,272.08,1.18,2,849,1696,Driver Inattention/Distraction: 260: 15.33%,Failure to Yield Right-of-Way: 92: 5.42%,Fatigued/Drowsy: 70: 4.13%,Backing Unsafely: 45: 2.65%,Prescription Medication: 38: 2.24%,PASSENGER VEHICLE: 1038: 61.2%,SPORT UTILITY / STATION WAGON: 404: 23.82%,VAN: 31: 1.83%,BUS: 28: 1.65%,SMALL COM VEH(4 TIRES): 18: 1.06%,STREET CONDITION: 734: 47.39%,STREET LIGHT CONDITION: 699: 45.13%,STREET SIGN - DAMAGED: 56: 3.62%,Street Light Out: 521: 33.63%,Pothole: 413: 26.66%,Cave-in: 102: 6.58%,Rough  Pitted or Cracked Roads: 91: 5.87%,Wear & Tear: 38: 2.45%,1549
OAKLAND GARDENS,11364,Ok,0.06,236.84,6.19,1.99,646,1283,Driver Inattention/Distraction: 122: 9.51%,Failure to Yield Right-of-Way: 111: 8.65%,Fatigued/Drowsy: 65: 5.07%,Backing Unsafely: 54: 4.21%,Prescription Medication: 30: 2.34%,PASSENGER VEHICLE: 744: 57.99%,SPORT UTILITY / STATION WAGON: 369: 28.76%,VAN: 31: 2.42%,BUS: 16: 1.25%,OTHER: 15: 1.17%,STREET LIGHT CONDITION: 957: 55.35%,STREET CONDITION: 627: 36.26%,STREET SIGN - DAMAGED: 82: 4.74%,Street Light Out: 702: 40.6%,Pothole: 338: 19.55%,Street Light Cycling: 95: 5.49%,St Name - Attached to Pole: 87: 5.03%,Cave-in: 77: 4.45%,1729
